dataSourceId|identifier|datePosted|firstSeen|lastSeen|minValue|maxValue|title|description|python|advanced computing|programming|computational systems|coding|cloud computing|databases|data management|data engineering|data mining|data formats|linked data|information extraction|stream processing|enterprise process|business intelligence|data anonymisation|semantics|schema|data licensing|data quality|data governance|data science|big data|open data|machine learning|social network analysis|inference|reasoning|process mining|Linear algebra|Calculus|Mathematics|Statistics|Probability|RStudio|Data analytics|Data analysis|data visualisation|infographics|interaction|data mapping|data stories|data journalism|d3js|tableau
stack_overflow|http://careers.stackoverflow.com/jobs/96852/database-programmer-and-developer-university-of-oxford|2015-09-02T10:08:27||2015-09-02T10:08:27|0|1|Database Programmer and Developer at University of Oxford (UK)|<p><strong>NUFFIELD DEPARTMENT OF ORTHOPAEDICS, RHEUMATOLOGY AND MUSCULOSKELETAL SCIENCES</strong></p><br /><p><strong>Database Programmer and Developer (119821)</strong></p><br /><p><strong>Grade 7: Salary in the range of &pound;30,434 to &pound;31,342 per annum</strong></p><br /><p>We are seeking a Database Programmer and Developer within the Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences (NDORMS) located at the Botnar Research Centre, Oxford.</p><br /><p>You will be responsible for maintaining, expanding and developing complex software used to support several research projects run by the Epidemiology Unit as well as assessing and improving the quality of the software through appropriate testing during the development process. Duties will also include writing readable code with good documentation and developing and maintaining the Epidemiology Unit website. You will also advise other members of the group on IT methodologies and procedures.</p><br /><p>You will have a degree in computer science or equivalent technical qualification and will be proficient in developing and maintaining web applications for data capture written in PHP using HTML5/CSS/Javascript. You will also have expertise in developing and maintaining console and web applications as well as skills in testing both console and web applications. Sound knowledge of the relational database model, SQL, data management and MySQL is essential. Knowledge of working in a mixed computing environment involving Windows and Linux servers and experience of working with confidential data and related software (e.g. TrueCrypt) would be desirable.</p><br /><p>This is a full-time fixed term appointment for one year.</p><br /><p>The closing date for this position is <strong>12 noon on Friday 2 October 2015</strong>. You will be required to upload a supporting statement and CV as part of your online application.</p><br /><p>To apply for this role and for further details, including the job description and selection criteria, please click on the link below:&nbsp;</p><br /><p><a href="https://www.recruit.ox.ac.uk/pls/hrisliverecruit/erq_jobspec_version_4.jobspec?p_id=119821" rel="nofollow" rel="nofollow" rel="nofollow">https://www.recruit.ox.ac.uk/pls/hrisliverecruit/erq_jobspec_version_4.jobspec?p_id=119821</a></p>|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stack_overflow|http://careers.stackoverflow.com/jobs/96847/firmware-engineer-intel-corporation|2015-09-02T09:08:27||2015-09-02T09:08:27|0|1|FIRMWARE ENGINEER at Intel Corporation (Gdask, Polska)|<p>The Cloud Platform Group (CPG) is seeking for a Firmware Engineer. In this position you will work on low-level programming, system architecture, operating systems, device architecture and hardware design, as well as source code development, review and maintenance (C/C++), unit and system level test and verification. <br> You will be working on next generations products and will have an opportunity to gain experience on best in the world server technologies that will be released to the market in few years. You will be a member of a cross-functional, cross-geo team that is very process-oriented and that delivers a world class server platforms based on Intel silicon. <br> <br> Your responsibilities may include but not be limited to: <br> - Understand feature requirements, architecture and design. <br> - Firmware development (mainly in C language) <br> - Unit Tests development <br> - Firmware debugging <br> - Firmware integration with other server HW and SW platform components, like CPU, PCH, BIOS, OS etc.</p>|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stack_overflow|http://careers.stackoverflow.com/jobs/96830/data-services-engineer-discovery-digital-networks|2015-09-02T02:08:27||2015-09-02T02:08:27|0|1|Data Services Engineer at Discovery Digital Networks (San Francisco, CA)|<p>Discovery Digital Networks, the premier publisher of digital-native programming for the Internet age, is looking for a Data Services Engineer with an affinity for working with data to support, evolve and expand our web and data infrastructure.</p><br /><p>The candidate must be willing and able to function on a small team working with designers, front-end engineers and data scientists. This position will require knowledge of Python and PHP, and some familiarity with Javascript and MySQL. Experience with Amazon Web Services, Linux server administration and packages/frameworks like Flask, SQLAlchemy, React and Lumen is a plus. Successful candidates will typically have at least 3 years of experience. Ping pong skills also a plus!</p><br /><p>We offer a competitive benefits package including medical, dental, vision, and a 401k matching plan, in addition to other perks. &nbsp;Join our collaborative, fun, and creative work environment!</p><br /><p>&nbsp;This position is located in San Francisco, CA.</p><br /><p>Some representative daily tasks include:</p><br /><ul><br /><li>Maintaining and enhancing the ETL that feeds our data warehouse;</li><br /><li>Building and supporting new and existing data tools and products;</li><br /><li>Maintaining and developing both customer facing and internal web services;</li><br /><li>Helping to improve the performance and reliability of the entire Discovery Digital Networks technology stack.</li><br /></ul><br /><p>&nbsp;Some possibilities for initial projects:</p><br /><ul><br /><li>Updating data warehouse to include detailed geographic and demographic data;</li><br /><li>Using machine learning algorithms to create tools to help producers create better content;</li><br /><li>Creating dashboards to surface warehouse data to users.</li><br /></ul>|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stack_overflow|http://careers.stackoverflow.com/jobs/96814/full-stack-software-engineer-synthetics-new-relic|2015-09-01T21:08:27||2015-09-01T21:08:27|0|1|Full Stack Software Engineer, Synthetics at New Relic (Phoenix, AZ)|<p><strong>New Relic&nbsp;<br> Full Stack Software Engineer, Synthetics&nbsp;<br> Phoenix, AZ</strong></p><br /><br /><p>New Relic is software analytics. Fueled by real-time data from production software, we provide clear, actionable intelligence about high-velocity web and mobile applications and their end-users. Our first, and very successful, SaaS tool for such analytics monitors real-time traffic from real users. The Next New Thing for New Relic is monitoring real-time traffic from synthetic users.</p><br /><br /><p>As one of the engineers building this product, you'll be designing the architecture, writing the code, and, of course, monitoring it all by automating browsers with New Relic Synthetics.</p><br /><br /><p><strong>Some of the things we work on:</strong></p><br /><br /><ul><br /><li>How to make the process of scripting a browser more fun and less pain</li><br /><li>How to present large amounts of browser metrics to customers in a simple but meaningful way</li><br /><li>How to orchestrate hundreds of browsers running synthetic transactions across the globe and ensure that all transactions are both reliable and properly sandboxed</li><br /><li>How to ensure that we&rsquo;re capturing all possible transaction metrics even if they appear not meaningful at first</li><br /></ul><br /><br /><p><strong>Skills &amp; Experience that are relevant to us:</strong></p><br /><br /><ul><br /><li>Experience with browser automation technologies such as Selenium/Webdriver/Chomedriver, PhantomJS, Zombie.js, etc&hellip;</li><br /><li>Open source contributions</li><br /><li>Experience in a backend language like Java, Ruby, Python or Node.js (but, to be honest, we mainly use Java)</li><br /><li>Experience building front-end Javascript applications (we use Angular)</li><br /><li>Experience building products on Amazon Web Services and understanding of operational/uptime tradeoffs</li><br /><li>A web app or API that you have played a key role in shipping</li><br /><li>Success working in small and fast paced teams</li><br /></ul><br /><br /><p><strong>How to apply:</strong>&nbsp;</p><br /><br /><p>Please click the link below and attach your resume. In your cover letter send us examples to apps you've built and code you've posted to Github.</p><br /><br /><p><strong>A little about us:</strong></p><br /><br /><p>New Relic is a software analytics company that, on behalf of our customers, makes sense of billions of metrics about millions of applications, all in real time. Our comprehensive SaaS-based solution for web and mobile applications consolidates the performance monitoring data into a single, powerful interface. Our customers use New Relic every day to optimize millions of applications.</p><br /><br /><p>New Relic is a San Francisco Best Places to Work award winner, an Oregon &ldquo;Top Workplace&rdquo; award winner, named a leader in the Gartner&rsquo;s 2013 &amp; 2014 &ldquo;Magic Quadrant&rdquo; for APM companies, a Top 100 OnDemand Company, Best of SaaS (THINKStrategies), Top 100 Coolest Cloud Computing (CRN); 10 Cloud Management Companies to Watch (NetworkWorld) &ndash; the list of accolades goes on. More important than all of that: we provide challenging work, opportunities to learn, high quality teammates, a standard-setting product, and a company on the move.</p><br /><br /><p>We provide&nbsp;competitive compensation, equity and big-company benefits (medical, dental, etc.) - all while maintaining the energy, agility, and&nbsp;fun&nbsp;of a startup.</p><br /><p>New Relic is most decidedly an equal opportunity employer. We eagerly seek applicants of diverse background and hire without regard to race, color, gender, religion, national origin, ancestry, citizenship, individuals with disabilities, age, sexual orientation, protected veterans, or any other characteristic protected by law. Note: Our stewardship of the data of many thousands of customers means that a criminal background check is required to join New Relic. &nbsp;We will, nonetheless, consider qualified applicants with arrest and conviction records in accord with applicable law, including the San Francisco Fair Chance Ordinance.</p><br /><br /><p><a href="http://www.Click2Apply.net/qp3m87krjf" rel="nofollow" rel="nofollow" rel="nofollow" rel="nofollow">Apply Here</a></p><br /><br /><p><strong>PI91711714 </strong></p>|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stack_overflow|http://careers.stackoverflow.com/jobs/96795/senior-designer-ui-ux-experience-loggly|2015-09-01T18:08:27||2015-09-01T18:08:27|0|1|Senior Designer - UI/UX experience at Loggly (San Francisco, CA)|<p>Loggly is seeking a Sr. Designer to join our Software Engineering team. Loggly is the world&rsquo;s most popular cloud-based enterprise-class log management solution.&nbsp; We&rsquo;ve recently received $15M in new funding to accelerate our rapid growth and we&rsquo;re staffing up.</p><br /><p>Our customers send us an explosive volume of log data 7x24x365. &nbsp;Our challenge?&nbsp; Make it easy for our users to instantly understand what their logs are telling them. This is real-time big data that is mission critical for our customers.&nbsp; Do you have the code-writing capabilities to take on this task? And to succeed in a big way?&nbsp;</p><br /><p><strong>About the Team</strong></p><br /><p>The product team at Loggly believes that the quality of our software and its simplicity reflects directly on us as professionals.&nbsp; And because our customers are all engineers themselves, they notice.&nbsp;&nbsp;We&rsquo;re relentless about crafting a product that is innovative, delivers a user experience that people remember and is ever faster and more robust.</p><br /><p>As a key and senior member on our team, you will collaborate with other executives, engineers, product management, and operations. We&rsquo;re a small team so every individual matters.&nbsp;</p><br /><p>Our culture is fun, fast-paced, performance-oriented, open, collegial, and we are constantly pushing the technology envelope to the edge!&nbsp; All of our positions are based in the financial district of San Francisco, CA right on top of a BART and Muni stop.</p><br /><p>&nbsp;<strong>We are looking for: </strong></p><br /><p>We're looking for a UI / UX Designer who can help drive the interface from both a technical perspective across all of our design assets as well as CSS code. You must be a critical, inventive thinker with a clear sense of user-centered design process, an excitement for understanding and using data, and an ability to communicate your ideas effectively.</p><br /><p>You'll lead the evolution of our product with conceptual design, but have enough respect for your craft to be able to implement pixel-perfect design. You'll champion the voice of the user by conducting ongoing research of how people are using the Loggly product - using this feedback to inform your design. You are a part of the engineering team, and should be technical enough to grow to understand the core use cases around our audience of DevOps and SysAdmins.&nbsp;&nbsp;</p><br /><p>&nbsp;<strong>What you'll do:</strong></p><br /><ul><br /><li>Translate complex visions and product functionality into simple, streamlined, and elegant designs that emphasize minimal effort for our thousands of customers.</li><br /><li>Create and communicate design principles and guidelines for our team to follow.</li><br /><li>Deliver detailed prototypes, mockups, wireframes, and design assets.&nbsp;</li><br /><li>Design tools and workflows for internal teams.</li><br /><li>Run design reviews with cross-functional teams and conduct usability testing with external customers.</li><br /><li>Work from high-level requirements and ask the right questions to gather all relevant information to guide design direction.</li><br /><li>Quickly iterate on multiple design explorations to arrive at a simple, but robust solution, accounting for complex requirements.</li><br /><li>Design for current experiences while also envisioning and creating new experiences for future features.</li><br /><li>Collaborate on and present work to a range of stakeholders &ndash; executives, engineers, product managers and business leaders.</li><br /><li>Stay current on emerging design trends, music innovations, and broader technologies and identify opportunities to incorporate best current thinking into product designs.</li><br /></ul><br /><p>&nbsp;<strong>What&rsquo;s Next</strong></p><br /><p>If you're interested in joining the team; please send us your resume. Let us know how you fit the bill for each of our requirements. Loggly is a place that values individuality, variety, and diversity. We have lots of hikers, bikers, gamers, musicians and other interesting folks so use your judgment and write to us in your own voice about your talents.&nbsp; If you have a presence on the web that we can easily access where you contribute to an open source project, write a blog, or practice another craft besides designing powerful software, we&rsquo;d love to hear about it.</p><br /><p>We&rsquo;ll start with an initial phone interview and based on that, we&rsquo;ll invite you in to meet the team &ndash; starting with the CTO and CEO; as we said, we&rsquo;re a small team and every member is important!&nbsp; We hope you&rsquo;ll do some research on Loggly and try out our product before you arrive.</p><br /><br /><ul><br /><li><em>Loggly is proud to be an equal opportunity employer.</em></li><br /><li>**Immigration sponsorship will be considered**</li><br /><li>**NO relocation available**</li><br /><li>**Must work onsite full-time in San Francisco, CA**</li><br /></ul>|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stack_overflow|http://careers.stackoverflow.com/jobs/92285/sql-developer-dive-in-develop-and-disect-radio-systems-corporation|2015-09-01T17:08:27||2015-09-01T17:08:27|0|1|SQL Developer-Dive in, Develop and Disect Databases! at Radio Systems Corporation (PetSafe) (Knoxville, TN)|<p><em>Often times, we get so caught up in the day to day execution of our jobs that we forget that we should be learning and growing instead of simply doing the same tasks over and over.&nbsp; THIS is&nbsp;your opportunity to grow. To stretch those&nbsp;muscles and learn new skills.&nbsp;&nbsp;Our ERP team, is filled with&nbsp;dynamic people with&nbsp;such a varation of skill sets that&nbsp;you&nbsp;will&nbsp;essentially be learning something new every day.&nbsp; Our question to you is: What can YOU bring to the table? What can YOU teach us?! We are eager to find out and to learn from you!&nbsp; If the below job description looks like you and what you are passionate about, we want to hear from you!&nbsp; </em></p><br /><p><strong>SUMMARY OF POSITION</strong>: Responsible for the technical development, maintenance of custom packages, interfaces, extensions for Oracle e-Business Suite and Cognos BI reports and cubes.</p><br /><p><strong>JOB RESPONSIBILITIES: </strong></p><br /><ul><br /><li>Analyze user requirements and, based on findings, build SQL queries, procedures, packages, reports and cubes for Oracle ERP and Cognos BI applications;</li><br /><li>Monitor performance of existing database objects and tune objects with worsening performance;</li><br /><li>Diagnose and resolve database access and performance issues</li><br /><li>Monitor and resolve issues for SQL based interfaces with external trading partners;</li><br /><li>Provides expertise in software development lifecycle management (analysis, design, development, testing training, etc.) of new ERP&amp;BI development, including reports, interfaces, business forms, data migration, user exits, and workflow;</li><br /><li>Assists with understanding configuration dependencies and interrelationships between data warehouse/business intelligence tools and designs, and troubleshoots in the area with this knowledge</li><br /><li>Facilitate DBA with activities in non-production instances</li><br /></ul>|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stack_overflow|http://careers.stackoverflow.com/jobs/96763/software-engineer-java-embl-ebi|2015-09-01T15:08:27||2015-09-01T15:08:27|0|1|Software Engineer (Java) at EMBL-EBI (Hinxton, UK)|We are seeking to recruit an experienced Software Engineer to work on the OpenMinTeD H2020 project, to create an e-infrastructure that fosters and facilitates the use of text and data mining technologies in scientific publications. You will join the Cheminformatics and Metabolism team at the European Bioinformatics Institute (EMBL-EBI) located at the Wellcome Genome Campus near Cambridge in the UK.<br><br>You will work with the OpenMinTeD consortium on the BioMedical use case for this consortium. You will also develop the curation tool for the ChEBI database at EBI and integrate the solutions produced by the OpenMinTeD consortium. Towards this end, you need to have excellent software engineering capabilities and be able to understand and implement software according to user requirements.<br><br>The EBI is part of the European Molecular Biology Laboratory (EMBL) and it is a world-leading bioinformatics centre providing biological data to the scientific community with expertise in data storage, analysis and representation. EMBL-EBI provides freely available data from life science experiments, performs basic research in computational biology and offers an extensive user training programme, supporting researchers in academic and industry.|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stack_overflow|http://careers.stackoverflow.com/jobs/96752/systems-engineer-amazon|2015-09-01T14:08:27||2015-09-01T14:08:27|0|1|Systems Engineer at Amazon (Dublin, Ireland)|Want to work on the cutting edge of cloud computing services at massive scale?<br><br /><br><br />Amazon Web Services (AWS) is looking for Systems Engineers for the AWS Database Services team in Dublin, Ireland. This team is working in the heart of AWS managing rapid growth services such as Redshift Amazon is building some of the largest distributed systems in the world and we need smart people to help plan and put together the pieces.<br><br /><br><br />The Systems Engineers within our team are instrumental in creating, automating, deploying, operating and scaling a massive always-on distributed system. We are seeking passionate engineers with strong Linux systems engineering skills who pro-actively automate away problems and constantly look to improve quality of service.<br><br /><br><br />The ideal candidate will have thrived in operating complex systems, diagnosing and resolving the hardest corner case problems. You are fast on your feet and excited by the challenge of working in a hyper-growth environment where priorities shift quickly. In addition to your linux systems skills you will be very comfortable with networking &amp; database technologies. You must be able to triage situations quickly and work equally well with internal engineers and external customers to bring about swift problem resolution in ways that persist and are reusable for multiple services.<br><br /><br><br />You will be expected to deliver on these kinds of things in the first six to twelve months on the job:<br><br /><br><br />Automate away recurring problems:<br><br />&middot; Develop or further existing application and system management tools and processes that reduce manual efforts<br><br />&middot; Design and participate in the development and delivery of operability-related features such as system health monitoring, diagnostics, repair, and other self-healing automation.<br><br />&middot; Monitor the health of the fleet, automating system health, maintenance tasks, and reporting systems as needed.<br><br /><br><br />Manage capacity in the face of massive growth:<br><br />&middot; Maintain fleet inventory management, including producing, maintaining, and evolving capacity plans for various components.<br><br />&middot; Adapt and improve operations management systems and processes to accommodate rapid and increasing growth in systems and traffic.<br><br />&middot; Define and/or refine hardware requirements and selected designs.<br><br />&middot; Participate in the design and execution of production acceptance tests and new hardware evaluations.<br /><p>&middot; BS Computer Science or other technical degree and/or related experience<br><br />&middot; 5+ years of solid *NIX system administration experience<br><br />&middot; Scripting skills in one or more of Perl, Python, Ruby, Bash or Java.</p><br /><br /><p>&middot; Experience running and maintaining a 24x7 Internet-oriented production environment, preferably across multiple data centers, involving (preferably) at least hundreds of machines.<br><br />&middot; Automation or monitoring framework experience, deployment or development<br><br />&middot; Demonstrable expertise around specifying, designing, and/or implementing system health, performance monitoring tools, and software management tools for 24x7 environments.<br><br />&middot; Experience with very large distributed systems such as large scale distributed database systems, storage farms, and/or horizontally scaled request processing fleets<br><br />&middot; Experience with hardware load balancer administration, network optimization, or other related and demonstrable TCP-level experience<br><br />&middot; A solid grasp of networking fundamentals, preferably including hands-on experience with load balancers, switches, routers, etc.<br><br /><br><br />*LI-JF1</p>|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stack_overflow|http://careers.stackoverflow.com/jobs/96751/systems-engineer-aws-dns-amazon|2015-09-01T13:08:27||2015-09-01T13:08:27|0|1|Systems Engineer - AWS DNS at Amazon (Dublin, Ireland)|This position is based in our Development Centre in Dublin, Ireland.<br><br />Are you ready to create systems to power one of the largest e-commerce companies in the world? Amazon.com has over 70 million customers, and developers all over the world rely on our storage, compute, and virtualised services via Amazon Web Services. We support systems at massive, and ever-growing, scale. We rapidly integrate new technologies to expand our customer offerings. Our success depends on our world-class network infrastructure and our goal is to become &ldquo;The Infrastructure Platform&rdquo; for the world.<br><br /><br><br />The AWS Infrastructure DNS team is seeking enthusiastic and talented Systems Engineers to design, build and operate the large-scale control plane software used to drive the Amazon DNS fleet. We run systems that are critical to the platforms that Amazon&#39;s global retail, AWS and Kindle businesses run upon -- the DNS services in Amazon&#39;s datacenters and integration of Amazon&#39;s systems with the likes of Amazon Route 53 to manage public DNS.<br><br /><br><br />Our key challenges include reliable delivery of updates, which continually raise the bar on latency, update propagation times, and security of the DNS infrastructure. As a lead member of our growing team, you will design and develop highly visible products, be involved in all aspects of the software development lifecycle and interact with many other engineering teams across Amazon.<br /><p>Basic Qualifications<br><br />&middot; Computer Science degree, or equivalent experience.<br><br />&middot; Proficient in any of Python, Java, Perl, C/C++.<br><br />&middot; Comfortable working with Linux, or other Unix operating systems.<br><br />&middot; Obsession with delivering highly available and performant systems that surpass customer expectations.<br><br />&middot; Have a passion for automation.</p><br /><br /><p>Preferred Qualifications<br><br />&middot; Experience with REST, resilient and scalable web services and cloud environments a plus.<br><br />&middot; Experience with agile development methodologies and DevOps environments a plus.<br><br />&middot; Excellent knowledge of server hardware and software troubleshooting.<br><br />&middot; Strong desire to build; sense of ownership, urgency, and drive.</p>|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
stack_overflow|http://careers.stackoverflow.com/jobs/89652/lead-designer-comscore|2015-09-01T10:08:27||2015-09-01T10:08:27|0|1|Lead Designer at comScore (Amsterdam Zuid-Oost, Netherlands)|<p>We&rsquo;re looking for an open-minded UI / UX designer, capable of taking end-user insights and business objectives and creating UIs that solve problems, drive engagement and help the end-user to effectively use our products.</p><br /><p>You&rsquo;ll be working on creating designs, UI prototypes and user interaction models for new features and improving UI / UX on our Digital Analytix product. Close collaboration with the front-end (UI) engineering team, Product Management, the central UX team and QA engineers will also be an essential part of your work.</p><br /><p>There are a number of upcoming projects that you would also be working on, which will give you a great opportunity to try out new design and UX strategies and technologies that will help you stay at the top of your game.</p>|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|
